Tempo(s),Pkt_env,Pkt_Rcv,Pkt_PDR,Exp_Pkt_Rcv,Exp_Pkts_Range_Recv,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10
125,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
126,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
127,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
128,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
129,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
130,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
131,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
132,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
133,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
134,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
135,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
136,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
137,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
138,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
139,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
140,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
141,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
142,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
143,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
144,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
145,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
146,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
147,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
148,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
149,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
150,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
151,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
152,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
153,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
154,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
155,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
156,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
157,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
158,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
159,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
160,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
161,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
162,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
163,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
164,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
165,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
166,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
167,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
168,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
169,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
170,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
171,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
172,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
173,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
174,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
175,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
176,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
177,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
178,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
179,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
180,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
181,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
182,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
183,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
184,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
185,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
186,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
187,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
188,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
189,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
190,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
191,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
192,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
193,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
194,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
195,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
196,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
197,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
198,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
199,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
200,3094,25446,8.22431,540,461,0.853704,0.822281,0.793801,0.7665,0.745964,0.723452,0.701471,0.677151,0.653064,0.628158
